id;id_vlady;id_utvary;meno;id_strany;datumOD;datumDO
1;1;60;Milan Čič;NULL;1989-12-12;1990-06-26
2;1;61;Vladimír Lexa;NULL;1989-12-12;1990-06-26
3;1;46;Jozef Markuš;NULL;1989-12-12;1990-06-26
4;1;46;Vladimír Ondruš;26;1989-12-12;1990-06-26
5;1;46;Alexander Varga;26;1989-12-12;1990-06-26
6;1;8;Michal Kováč;NULL;1989-12-12;1990-06-26
7;1;11;Ladislav Chudík;NULL;1989-12-12;1990-03-29
8;1;11;Ladislav Snopko;26;1990-03-29;1990-06-26
9;1;13;Ivan Veselý;NULL;1989-12-12;1990-06-26
10;1;15;Matej Roľko;NULL;1989-12-12;1990-06-26
11;1;20;Miroslav Belanský;NULL;1989-12-12;1990-06-26
12;1;21;Kazimir Nagy;NULL;1989-12-12;1990-06-26
13;1;26;Ján Ducký;NULL;1989-12-12;1990-06-26
14;1;30;Ladislav Kováč;NULL;1989-12-12;1990-06-26
15;1;33;Ladislav Košťa;26;1989-12-12;1990-06-26
16;1;35;Milan Čič;NULL;1989-12-12;1990-01-11
17;1;35;Vladimír Mečiar;NULL;1990-01-11;1990-06-26
18;1;38;Ivan Šteis;NULL;1989-12-12;1990-06-26
19;1;44;Jozef Markuš;NULL;1989-12-12;1990-01-11
20;1;44;Stanislav Novák;NULL;1990-01-11;1990-06-26
21;1;62;Vladimir Lexa;NULL;1989-12-12;1990-06-26
22;1;65;Mária Kolaříková;NULL;1989-12-12;1990-01-11
23;1;65;Silvester Minarovič;NULL;1990-01-11;1990-06-26
24;2;60;Vladimír Mečiar;NULL;1990-06-27;1991-04-22
25;2;61;Ján Čarnogurský;9;1990-06-27;1991-04-22
26;2;46;Jozef Kučerák;NULL;1990-06-27;1991-04-22
27;2;46;Vladimír Ondruš;26;1990-06-27;1991-04-22
28;2;46;Gábor Zászlós;26;1990-06-27;1991-04-22
29;2;1;Milan Kňažko;NULL;1990-06-27;1990-10-06
30;2;8;Michal Kováč;NULL;1990-06-27;1991-04-22
31;2;9;Jozef Belcák;NULL;1990-06-27;1991-04-22
32;2;10;Martin Hvozdík;NULL;1990-10-06;1991-04-22
33;2;11;Ladislav Snopko;26;1990-06-27;1991-04-22
34;2;12;Viliam Oberhauser;9;1990-06-27;1991-04-22
35;2;14;Milan Kňažko;NULL;1990-10-06;1991-04-22
36;2;15;Jozef Chren;NULL;1990-06-27;1991-04-22
37;2;17;Rudolf Filkus;NULL;1990-06-27;1990-10-06
38;2;20;Michal Džatko;NULL;1990-06-27;1991-04-22
39;2;22;Stanislav Novák;NULL;1990-06-27;1991-04-22
40;2;24;Rudolf Filkus;NULL;1990-10-06;1991-04-22
41;2;26;Ján Holčík;NULL;1990-06-27;1991-04-22
42;2;31;Ladislav Kováč;NULL;1990-06-27;1990-09-06
43;2;31;Ján Pišút;NULL;1990-09-06;1991-04-22
44;2;33;Ladislav Košťa;26;1990-06-27;1991-04-22
45;2;34;Anton Andráš;9;1990-06-27;1990-11-22
46;2;34;Ladislav Pittner;NULL;1990-11-22;1991-04-22
47;2;38;Jozef Dubníček;NULL;1990-06-27;1991-04-22
48;2;43;Alojz Rakús;NULL;1990-06-27;1991-04-22
49;2;63;Ivan Tirpák;NULL;1990-06-27;1991-04-22
50;2;64;Augustín Marián Húska;NULL;1990-06-27;1991-04-22
51;2;65;Martin Hvozdík;NULL;1990-06-27;1990-10-06
52;3;60;Ján Čarnogurský;9;1991-04-23;1992-06-24
53;3;61;Martin Porubjak;NULL;1991-08-28;1992-06-24
54;3;46;Gábor Zászlós;26;1991-04-23;1992-06-24
55;3;46;Anton Vavro;NULL;1991-04-23;1992-06-24
56;3;3;Vladimír Pavle;NULL;1991-04-23;1992-06-24
57;3;7;Michal Kováč;NULL;1991-04-23;1991-06-14
58;3;7;Jozef Dančo;NULL;1991-06-14;1992-06-24
59;3;9;Jozef Belcák;NULL;1991-04-23;1992-06-24
60;3;10;Martin Hvozdík;NULL;1991-04-23;1992-06-24
61;3;11;Ladislav Snopko;26;1991-04-23;1992-06-24
62;3;12;Viliam Oberhauser;9;1991-04-23;1992-06-24
63;3;14;Ján Čarnogurský;9;1991-04-23;1991-05-06
64;3;14;Pavol Demeš;NULL;1991-05-06;1992-06-24
65;3;15;Jozef Chren;NULL;1991-04-23;1992-02-18
66;3;15;Jana Kotová;NULL;1992-02-18;1992-06-24
67;3;20;Viliam Oberhauser;9;1991-04-23;1991-08-28
68;3;20;Jozef Kršek;NULL;1991-08-28;1992-06-24
69;3;22;Helena Woleková;NULL;1991-04-23;1992-06-24
70;3;24;Rudolf Filkus;NULL;1991-04-23;1991-08-01
71;3;25;Ivan Mikloš;NULL;1991-04-23;1992-06-24
72;3;26;Ján Holčík;NULL;1991-04-23;1992-06-24
73;3;29;Ján Pišút;NULL;1991-04-23;1992-06-24
74;3;33;Marian Posluch;NULL;1991-04-23;1992-06-24
75;3;34;Ladislav Pittner;NULL;1991-04-23;1992-06-24
76;3;38;Jozef Belcák;NULL;1991-04-23;1991-08-28
77;3;38;Jozef Bútora;NULL;1991-08-28;1992-06-24
78;3;43;Alojz Rakús;NULL;1991-04-23;1992-06-24
79;3;63;Jozef Zlocha;NULL;1991-04-23;1992-06-24
80;4;60;Vladimír Mečiar ;10;1992-06-24;1994-03-15
81;4;61;Roman Kováč ;10;1992-06-24;1994-03-15
